Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.33845546478787697,0.151046960764383,0.2088760612478213,73785
Entertainment,next,0.43523316062176165,0.004058755315036722,0.008042510412178659,41392
Food,next,0.37091659926834886,0.7207362384604977,0.4897766493153785,192166
Nightlife,next,0.31103565365025465,0.03158838540589006,0.05735215853238581,28998
Outdoors,next,0.32576706324358173,0.09326401649262761,0.14501236890700672,44626
Shopping,next,0.34906351870069247,0.26598027543836444,0.30191024357691026,136074
Travel,next,0.5104638932211382,0.4382717010509926,0.47162113481950624,64225
macro avg,next,0.3772764790705221,0.24356376184682743,0.24037016097302683,581266
weighted avg,next,0.3752254085108966,0.3771646715961367,0.3257882915889178,581266
Overall Accuracy,next,,,0.3771646715961367,
