Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.49745676500508645,0.11929738960722128,0.19244391971664698,4099
Entertainment,category,0.7058823529411765,0.006359300476947536,0.012605042016806723,1887
Food,category,0.46223346584748826,0.5785759522301638,0.5139022822243652,11053
Nightlife,category,0.5952380952380952,0.18315018315018314,0.2801120448179272,1092
Outdoors,category,0.3961352657004831,0.03441040704993705,0.06332046332046332,2383
Shopping,category,0.39572192513368987,0.6524933868913491,0.4926582091208344,10207
Travel,category,0.47107438016528924,0.03544776119402985,0.06593406593406594,1608
macro avg,category,0.5033917500044727,0.22996205437140452,0.23156800387872997,32329
weighted avg,category,0.4599818555809875,0.4297998700856816,0.37378621677695983,32329
Overall Accuracy,category,,,0.4297998700856816,
