Category,Task,Precision,Recall,F1-Score,Support
Community,category,0.41935483870967744,0.0672027570361861,0.11584158415841585,1741
Entertainment,category,0.5609756097560976,0.024864864864864864,0.047619047619047616,925
Food,category,0.41897055518093956,0.41718889883616833,0.4180778288662106,4468
Nightlife,category,0.6090225563909775,0.14647377938517178,0.23615160349854228,553
Outdoors,category,0.37037037037037035,0.00929368029739777,0.01813236627379873,1076
Shopping,category,0.3840696549500161,0.7677266867211001,0.5120011463781615,4654
Travel,category,0.43670886075949367,0.07091469681397738,0.1220159151193634,973
macro avg,category,0.4570674923025103,0.21480933770783803,0.20997707027336282,14390
weighted avg,category,0.42172658385166556,0.39867963863794303,0.3311589047909699,14390
Overall Accuracy,category,,,0.39867963863794303,
