Category,Task,Precision,Recall,F1-Score,Support
Community,next,0.3119191667186428,0.18774636783421556,0.23440356222170142,26637
Entertainment,next,0.3548941798941799,0.13018584113736717,0.19049309524654762,20609
Food,next,0.334481463736776,0.42134538218118944,0.3729219752694304,61306
Nightlife,next,0.2793522267206478,0.08316335991099573,0.12817032221190255,10786
Outdoors,next,0.125,0.0003266906239790918,0.0006516780710329097,18366
Shopping,next,0.3379649262853294,0.49466919818898786,0.4015709522045202,54776
Travel,next,0.6157415500007946,0.7083470439837666,0.6588059270090367,54702
macro avg,next,0.3370505019080529,0.28939769769435736,0.28385964460488167,247182
weighted avg,next,0.3787971203442322,0.40562015033457127,0.37406000685622964,247182
Overall Accuracy,next,,,0.40562015033457127,
